pid,navd88_match_line,navd88_ft,ngvd29_flag,ngvd29_ft,error
HT1317,,,,,
HS0113,"NAVD 88
 ORTHO HEIGHT - 4.86 (+/-2cm) 15.9 (feet) VERTCON3",15.9,False,14.03,
HS4147,,,,,
HS2858,"NAVD 88
 ORTHO HEIGHT - 6.02 (+/-2cm) 19.8 (feet) VERTCON3",19.8,False,17.05,
HS4205,,,,,
HS4204,,,,,
HT2004,,,,,
HS0126,"NAVD 88
 ORTHO HEIGHT - 6.60 (+/-2cm) 21.7 (feet) VERTCON3",21.7,False,19.4,
HS0087,,,,,
HS0131,,,,,
HS4201,,,,,
HS0080,"NAVD 88
 ORTHO HEIGHT - 6.456 (meters) 21.18 (feet) ADJUSTED",21.18,False,19.56,
HS4200,,,,,
HS0130,,,,,
HS0123,"NAVD 88
 ORTHO HEIGHT - 7.56 (+/-2cm) 24.8 (feet) VERTCON3",24.8,False,22.55,
HT1989,,,,,
HS0089,"NAVD 88
 ORTHO HEIGHT - 6.91 (+/-2cm) 22.7 (feet) VERTCON3",22.7,False,21.1,
HT0411,"NAVD 88
 ORTHO HEIGHT - 9.44 (+/-2cm) 31.0 (feet) VERTCON3",31.0,False,25.59,
HT2007,,,,,
HT0568,"NAVD 88
 ORTHO HEIGHT - 8.76 (+/-2cm) 28.7 (feet) VERTCON3",28.7,False,25.67,
HS4202,,,,,
HT1988,,,,,
HS4206,,,,,
JS1313,"NAVD 88
 ORTHO HEIGHT - 8.95 (+/-2cm) 29.4 (feet) VERTCON3",29.4,False,27.71,
HT1990,,,,,
HS3333,,,,,
HT1241,,,,,
JS1311,"NAVD 88
 ORTHO HEIGHT - 10.65 (+/-2cm) 34.9 (feet) VERTCON3",34.9,False,33.2,
JS2425,,,,,
HT1986,,,,,
JS1262,"NAVD 88
 ORTHO HEIGHT - 12.02 (+/-2cm) 39.4 (feet) VERTCON3",39.4,False,37.08,
JS1307,"NAVD 88
 ORTHO HEIGHT - 12.08 (+/-2cm) 39.6 (feet) VERTCON3",39.6,False,37.6,
HS2879,,,,,
JS0995,"NAVD 88
 ORTHO HEIGHT - 12.893 (meters) 42.30 (feet) ADJUSTED",42.3,False,39.76,
JS1300,,,,,
JS1276,"NAVD 88
 ORTHO HEIGHT - 13.852 (meters) 45.45 (feet) ADJUSTED",45.45,False,43.28,
JS2467,,,,,
JS1281,"NAVD 88
 ORTHO HEIGHT - 14.72 (+/-2cm) 48.3 (feet) VERTCON3",48.3,False,46.07,
JS1287,"NAVD 88
 ORTHO HEIGHT - 15.56 (+/-2cm) 51.0 (feet) VERTCON3",51.0,False,48.5,
JS1266,"NAVD 88
 ORTHO HEIGHT - 15.81 (+/-2cm) 51.9 (feet) VERTCON3",51.9,False,49.52,
JS1000,"NAVD 88
 ORTHO HEIGHT - 15.97 (+/-2cm) 52.4 (feet) VERTCON3",52.4,False,49.97,
JS1288,"NAVD 88
 ORTHO HEIGHT - 16.15 (+/-2cm) 53.0 (feet) VERTCON3",53.0,False,50.38,
JS2472,,,,,
JS0989,"NAVD 88
 ORTHO HEIGHT - 16.636 (meters) 54.58 (feet) ADJUSTED",54.58,False,52.04,
HS4198,,,,,
JS1292,"NAVD 88
 ORTHO HEIGHT - 16.94 (+/-2cm) 55.6 (feet) VERTCON3",55.6,False,53.0,
HS4199,,,,,
HS4197,,,,,
HT1249,,,,,
HS2923,,,,,
HS3352,,,,,
HS4148,,,,,
HT1334,,,,,
HT1333,"NAVD 88
 ORTHO HEIGHT - 23.22 (+/-2cm) 76.2 (feet) VERTCON3",76.2,False,72.05,
HS4151,,,,,
HT1959,,,,,
HS3378,,,,,
HS3380,,,,,
HT0524,"NAVD 88
 ORTHO HEIGHT - 27.62 (+/-2cm) 90.6 (feet) VERTCON3",90.6,False,87.87,
HS2829,"NAVD 88
 ORTHO HEIGHT - 26.41 (+/-2cm) 86.6 (feet) VERTCON3",86.6,False,83.88,
HS2827,,,,,
HT1958,,,,,
HS3547,"NAVD 88
 ORTHO HEIGHT - 38.74 (+/-2cm) 127.1 (feet) VERTCON3",127.1,False,124.37,
HS0195,,,,,
JS2445,,,,,
JS2444,,,,,
HT2113,,,,,
JS2443,,,,,
JS2426,,,,,
HS4160,,,,,
HT2110,,,,,
HT2111,,,,,
