pid,ts,designation,stCounty,refFrame,epoch,lat,latDms,latP2p,lon,lonDms,lonP2p,ellHt,ellHtP2p,datum,orthoHt,orthoHtP2p,observed,agency,monumentType,monumentDesc,setting,specificSetting,stamping,stability,magnetic,condition,description
AA3808,23039061246,GPS CONTROL POINT 14,"CA,Contra Costa County",NAD_83(2011),2010.0000,38.0249746306,N380129.90867,0.016,-122.1392093306,W1220821.15359,0.018,-29.541,0.008,NAVD88 (Computed using GEOID18),2.555,0.061,2023-02-03 17:04:00+00:00,None,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,PT 14 LS 5672 1990,Monument will probably hold position well,No magnetic material,S,Recovered as described. Mark is down 1FT under irrigation control cover. Note: 18IN evergreen tree is 16FT westerly.
AA3811,22083063941,HPGN CA 10 13,"CA,San Joaquin County",NAD_83(2011),2010.0000,37.7218183306,N374318.54599,0.004,-121.5339070694,W1213202.06545,0.003,44.231,0.014,NAVD88 (Computed using GEOID18),76.275,0.055,2022-03-22 15:52:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod in sleeve (10FT+ or 3.048M+), ,HPGN-CALIF. STA. 10-13 1992,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AA3823,23213184830,P3716+33.00 EBMUD,"CA,Contra Costa County",NAD_83(2011),2010.0000,38.0220824111,N380119.49668,0.024,-121.9416222000,W1215629.83992,0.017,-0.893,0.017,NAVD88 (Computed using GEOID18),31.209,0.068,2023-06-28 15:19:00+00:00,East Bay Municipal Utility District,Disk,Survey disk (other agency),Large structures with deep foundations, ,P3716+33.00 1991,Most reliable; expected to hold position well,No magnetic material,S, 
AA4251,21062191918,HPGN D CA 10 GK,"CA,Stanislaus County",NAD_83(2011),2010.0000,37.6386163694,N373819.01893,0.005,-120.8101416194,W1204836.50983,0.002,14.728,0.010,NAVD88 (Computed using GEOID18),46.324,0.054,2021-03-01 17:18:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 10-GK 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED
AA4252,25230151743,HPGN D CA 10 FK,"CA,Stanislaus County",NAD_83(2011),2010.0000,37.4743778500,N372827.76026,0.005,-120.8491765500,W1205057.03558,0.002,-1.746,0.026,NAVD88 (Computed using GEOID18),30.316,0.064,2025-08-05 19:54:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,10-FK 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,mark is in a known subsidence feature in california's central valley. mark will be impacted by groundwater overdraft and compaction of aquifers
AA4253,21095101254,HPGN D CA 10 BK,"CA,Merced County",NAD_83(2011),2010.0000,36.9169997194,N365501.19899,0.001,-120.8203290889,W1204913.18472,0.001,62.422,0.020,NAVD88 (Computed using GEOID18),95.719,0.060,2021-03-31 17:51:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 10-BK 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED
AA4254,24344142243,CRANE,"CA,Merced County",NAD_83(2011),2010.0000,37.2297256694,N371347.01241,0.011,-120.7056901306,W1204220.48447,0.002,-4.374,0.022,NAVD88 (Computed using GEOID18),28.242,0.057,2024-12-03 20:38:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Set in top of concrete monument, ,USC GS CRANE RESET SAC DIST 1980,May hold commonly subject to ground movement,No magnetic material,S,Mark is located in an area with moderate to light seasonal subsidence and rebound
AA4256,20328145542,HPGN D CA 10 HG,"CA,San Joaquin County",NAD_83(2011),2010.0000,37.7300857694,N374348.30877,0.004,-121.3306330694,W1211950.27905,0.002,-22.525,0.004,NAVD88 (Computed using GEOID18),9.697,0.053,2020-11-06 17:00:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA 10-HG 1993,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AA4257,22164143130,HPGN D CA 10 JF,"CA,San Joaquin County",NAD_83(2011),2010.0000,37.9439793306,N375638.32559,0.004,-121.4130458389,W1212446.96502,0.002,-31.775,0.002,NAVD88 (Computed using GEOID18),0.271,0.059,2021-11-18 19:19:00+00:00,East Bay Municipal Utility District,Disk,Survey disk (other agency),Light structures (other than listed below), ,CA-HPGN-DENSIFICATION STA. 10-JF 1993,May hold commonly subject to ground movement,No magnetic material,S, 
AA4258,25160133938,7 RS 406,"CA,Stanislaus County",NAD_83(2011),2010.0000,37.6811930306,N374052.29491,0.006,-120.4694630194,W1202810.06687,0.008,94.318,0.006,NAVD88 (Computed using GEOID18),124.554,0.059,2025-06-05 16:23:00+00:00,Wood Rodgers Inc.,Disk,Bench mark disk,In rock outcrop or ledge, ,7 RS 406 1940,Most reliable; expected to hold position well,No magnetic material,S,Monument is stable and in good condition.
